,0,1,2
287,-85.0,7.0,1216173970000.0
288,-85.0,8.0,1169344430000.0
289,-85.0,9.0,1124603000000.0
290,-85.0,10.0,1082461320000.0
291,-85.0,11.0,1043227740000.0
292,-85.0,12.0,1007056320000.0
293,-85.0,13.0,971451335000.0
294,-85.0,14.0,941337739000.0
295,-85.0,15.0,914175099000.0
296,-85.0,16.0,889811108000.0
297,-85.0,17.0,868071178000.0
298,-85.0,18.0,848763552000.0
299,-85.0,19.0,831691227000.0
300,-84.0,-30.0,1493780790000.0
301,-84.0,-29.0,1522083430000.0
302,-84.0,-28.0,1536939920000.0
303,-84.0,-27.0,1535470600000.0
304,-84.0,-26.0,1515511090000.0
305,-84.0,-25.0,1476136930000.0
306,-84.0,-24.0,1418115680000.0
307,-84.0,-23.0,1344125530000.0
308,-84.0,-22.0,1258626090000.0
309,-84.0,-21.0,1167358030000.0
310,-84.0,-20.0,1076540280000.0
311,-84.0,-19.0,992046350000.0
312,-84.0,-18.0,918739747000.0
313,-84.0,-17.0,860153250000.0
314,-84.0,-16.0,818510299000.0
315,-84.0,-15.0,794970685000.0
316,-84.0,-14.0,789946040000.0
317,-84.0,-13.0,803315974000.0
318,-84.0,-12.0,829080404000.0
319,-84.0,-11.0,876948226000.0
320,-84.0,-10.0,939487920000.0
321,-84.0,-9.0,1013710720000.0
322,-84.0,-8.0,1095581040000.0
323,-84.0,-7.0,1180207420000.0
324,-84.0,-6.0,1262290080000.0
325,-84.0,-5.0,1336703190000.0
326,-84.0,-4.0,1399088870000.0
327,-84.0,-3.0,1446285150000.0
328,-84.0,-2.0,1476533680000.0
329,-84.0,-1.0,1489449910000.0
330,-84.0,0.0,1485812790000.0
331,-84.0,1.0,1467228230000.0
332,-84.0,2.0,1435851160000.0
333,-84.0,3.0,1396100830000.0
334,-84.0,4.0,1351145620000.0
335,-84.0,5.0,1303318230000.0
336,-84.0,6.0,1254475170000.0
